appid,genre
3465170,Sports
3385820,Indie
3385820,RPG
3055480,Action
3055480,Adventure
3055480,Indie
3055480,Simulation
3214790,Indie
3214790,RPG
3214790,Strategy
3014080,Adventure
3014080,Simulation
2203170,Casual
2203170,Indie
2203170,Strategy
2598890,Adventure
1598780,Action
1598780,Adventure
1598780,Indie
1724540,Adventure
1724540,Indie
1724540,Simulation
1724540,Strategy
1521040,Simulation
1521040,Early Access
3600680,Adventure
3600680,Casual
3600680,Indie
3600680,Simulation
3385710,Action
3385710,Early Access
3055460,Adventure
3055460,Free To Play
3014070,Action
3014070,Casual
3014070,Indie
3014070,Free To Play
2445020,Simulation
2203140,Casual
2203140,Indie
2203140,Strategy
2002470,Casual
2002470,Indie
1906020,Action
1906020,Casual
1906020,Indie
1906020,Simulation
3600670,Action
3600670,Adventure
3600670,Indie
3600670,RPG
3600670,Early Access
3465080,Action
3465080,Casual
3465080,Indie
3465080,Strategy
3385670,Adventure
3385670,Casual
3385670,Indie
2444980,Racing
2444980,Strategy
2203130,Action
2203130,Free To Play
2598870,Indie
2598870,RPG
1788980,Casual
1580090,Action
1580090,Adventure
1580090,Indie
1580090,Early Access
3600620,Action
3600620,Adventure
3600620,Indie
3600620,Free To Play
3465050,Casual
3465050,Indie
3465050,Strategy
3214730,Action
3214730,Adventure
3214730,Casual
3214730,Racing
3214730,Strategy
3055420,Casual
3014010,RPG
3014010,Simulation
2444960,Action
2444960,Indie
2203100,Adventure
2203100,Indie
2203100,RPG
2203100,Simulation
2598860,Indie
2598860,Strategy
1543380,Simulation
3385570,Adventure
3385570,Casual
3385570,Indie
3385570,RPG
3385570,Simulation
3385570,Strategy
3214720,Casual
3214720,Indie
3055400,Simulation
3055400,Strategy
3013980,Action
3013980,Adventure
3013980,Indie
3013980,Strategy
3013980,Free To Play
2203070,Adventure
2203070,Massively Multiplayer
2203070,RPG
2203070,Strategy
2203070,Free To Play
2444940,Indie
2444940,Strategy
2598800,Action
2598800,Adventure
2598800,Indie
2598800,RPG
2598800,Early Access
1378790,Action
1378790,Indie
3685340,Casual
3685340,Simulation
3464970,Indie
3464970,Strategy
3385520,Adventure
3385520,Casual
3385520,Indie
3385520,RPG
3385520,Free To Play
3214690,Adventure
3214690,Casual
3214690,Indie
3013970,Indie
3055390,Casual
3055390,Free To Play
2203040,Adventure
2203040,Indie
2598770,Action
2598770,Adventure
2598770,Indie
1598750,Adventure
1598750,Indie
1598750,RPG
1724530,Adventure
1724530,Casual
1724530,Indie
1724530,Simulation
1521020,Adventure
3600510,Simulation
3600510,Strategy
3464960,Casual
3464960,Indie
3464960,Simulation
3464960,Strategy
3385500,Casual
3385500,Indie
3214680,Adventure
3055370,Adventure
3055370,Indie
3055370,RPG
2444900,Action
2444900,Casual
2444900,Indie
2598730,Casual
2598730,Indie
2598730,Simulation
2002450,Indie
1906000,Action
1906000,Casual
1906000,Indie
1665250,RPG
1580040,Action
1788970,Casual
3862760,Action
3862760,Adventure
3862760,Casual
3862760,Indie
3685310,Action
3685310,Adventure
3385490,Adventure
3385490,Indie
3214620,Action
3214620,Adventure
3214620,Indie
2402920,Adventure
2444890,Casual
2444890,Simulation
2202950,Action
2202950,Adventure
2202950,Indie
2202950,RPG
2202950,Early Access
1738490,Casual
1738490,Simulation
